# registry aggregates on treatment impact, organism burden, culture concordance and adjudication
# source: three-hospital registry workbook (PHI, outside this repository); generated by tables/make_impact.py; verified=yes
group,metric,n,denominator,value,unit,note
clinical impact,antimicrobial therapy changed,69,105,65.7,%,
clinical impact,change attributed to mNGS,52,105,49.5,%,
clinical impact,"change attributed to mNGS, of those with attribution recorded",52,89,58.4,%,
clinical impact,mNGS-attributed change: escalation,36,52,69.2,%,
clinical impact,escalations that were mNGS-attributed,36,49,73.5,%,
clinical impact,mNGS-attributed change: de-escalation,13,52,25.0,%,
clinical impact,de-escalations that were mNGS-attributed,13,19,68.4,%,
clinical impact,mNGS-attributed change: inconclusive,3,52,5.8,%,
clinical impact,inconclusives that were mNGS-attributed,3,17,17.6,%,
clinical impact,in-hospital death,51,105,48.6,%,
clinical impact,mechanical ventilation within 3 days of sampling,81,98,82.7,%,
clinical impact,"organisms per report, change attributed to mNGS",52,,4.0,organisms (median),
clinical impact,"in-hospital death, change attributed to mNGS",30,52,57.7,%,
clinical impact,"organisms per report, change not attributed to mNGS",37,,4.0,organisms (median),
clinical impact,"in-hospital death, change not attributed to mNGS",21,37,56.8,%,
organism burden,"organisms per report, BALF",63,,5.0,organisms (median),
organism burden,"organisms per report, Blood",24,,1.0,organisms (median),
organism burden,"organisms per report, CSF",6,,2.0,organisms (median),
organism burden,"organisms per report, Tissue",5,,1.0,organisms (median),
organism burden,"organisms per report, Sputum",4,,7.5,organisms (median),
organism burden,"organisms per report, Ascites",1,,1.0,organisms (median),
organism burden,"organisms per report, Pus",1,,1.0,organisms (median),
organism burden,"organisms per report, Abscess",1,,1.0,organisms (median),
organism burden,"organisms per report, airway specimen",67,,5.0,organisms (median),
organism burden,"organisms per report, sterile-site specimen",38,,1.0,organisms (median),
all specimens,"organisms per report, ward = ICU",75,,5.0,organisms (median),
all specimens,"organisms per report, ward = general ward",30,,1.0,organisms (median),
all specimens,"organisms per report, pneumonia = HAP/VAP",59,,5.0,organisms (median),
all specimens,"organisms per report, pneumonia = CAP",21,,3.0,organisms (median),
all specimens,"organisms per report, steroid = no",64,,3.0,organisms (median),
all specimens,"organisms per report, steroid = yes",40,,5.0,organisms (median),
all specimens,"organisms per report, ards = no",55,,3.0,organisms (median),
all specimens,"organisms per report, ards = yes",48,,5.0,organisms (median),
BALF only,"organisms per report, ward = ICU",57,,5.0,organisms (median),
BALF only,"organisms per report, ward = general ward",6,,5.0,organisms (median),
BALF only,"organisms per report, pneumonia = HAP/VAP",48,,5.0,organisms (median),
BALF only,"organisms per report, pneumonia = CAP",12,,3.0,organisms (median),
BALF only,"organisms per report, steroid = yes",36,,5.5,organisms (median),
BALF only,"organisms per report, steroid = no",27,,5.0,organisms (median),
BALF only,"organisms per report, ards = yes",40,,5.0,organisms (median),
BALF only,"organisms per report, ards = no",23,,5.0,organisms (median),
culture concordance,mNGS organisms with a same-species culture in the admission,75,414,18.1,%,
culture concordance,culture organisms absent from the mNGS report,90,165,54.5,%,
culture concordance (workbook tally),NGS+ Cx-,153,312,49.0,%,
culture concordance (workbook tally),Matched,18,312,5.8,%,
culture concordance (workbook tally),Partial match,93,312,29.8,%,
culture concordance (workbook tally),Mismatch,21,312,6.7,%,
culture concordance (workbook tally),NGS- Cx +,9,312,2.9,%,
culture concordance (workbook tally),NGS- Cx-,18,312,5.8,%,
adjudication,"specimens, pathogen",33,105,31.4,%,
adjudication,"organisms per report, pathogen",33,,2.0,organisms (median),
adjudication,"specimens, explicit negative",6,105,5.7,%,
adjudication,"organisms per report, explicit negative",6,,1.0,organisms (median),
adjudication,"specimens, dash only",16,105,15.2,%,
adjudication,"organisms per report, dash only",16,,1.0,organisms (median),
adjudication,"specimens, not recorded",50,105,47.6,%,
adjudication,"organisms per report, not recorded",50,,5.0,organisms (median),
adjudication,specimens with no adjudicated pathogen,22,105,21.0,%,
adjudication,organisms reported for them,47,,,organisms,
adjudication,"of those specimens, at least one organism reported",18,22,81.8,%,
outcome,"in-hospital death, change attributed to mNGS",30,52,57.7,%,
outcome,"in-hospital death, change not attributed",21,37,56.8,%,
outcome,"unadjusted odds ratio, attributed vs not",,,1.04,OR,"95% CI 0.45-2.41, Fisher exact p=1.0"
outcome,"adjusted odds ratio, attributed vs not",,,1.22,OR,"95% CI 0.46-3.21, p=0.691; adjusted for intensive care, ARDS, malignancy, corticosteroids and age; n=89"
"outcome (confounded, not reported as a finding)","in-hospital death, any treatment change vs none",40,69,58.0,%,the changed group has more ARDS and corticosteroid use at baseline; see outcome_changed_confounded
class composition,reported on mNGS: bacterium,230,414,55.6,%,
class composition,adjudicated causative: bacterium,29,55,52.7,%,
class composition,reported on mNGS: virus,112,414,27.1,%,
class composition,adjudicated causative: virus,12,55,21.8,%,
class composition,reported on mNGS: fungus,66,414,15.9,%,
class composition,adjudicated causative: fungus,13,55,23.6,%,
class composition,reported on mNGS: mycobacterium,6,414,1.4,%,
class composition,adjudicated causative: mycobacterium,1,55,1.8,%,
class composition,herpesviruses among reported viruses,100,112,89.3,%,
data quality,microbiology rows whose case code is absent from the mNGS sheet,5,,,,
