# what one admission's record contains: aggregates over the KMUH per-patient workbooks
# value = median unless the metric name says otherwise; q1/q3 = interquartile range; n = denominator; generated by tables/make_kmuh_record.py
# source: KMUH per-patient workbooks + the registry mNGS sheet (PHI, outside this repository); no identifier or date is written out
metric,value,q1,q3,n,unit,note,source,verified
admissions,32,,,32,admissions,"7 excluded: no microbiology, imaging or panel data; 11 excluded: duplicate of admission 9 (second mNGS specimen of the same admission); 26 excluded: duplicate of admission 25 (second mNGS specimen); 27 excluded: duplicate of admission 25 (third mNGS specimen)",KMUH per-patient workbooks,yes
results_imaging,12.5,10.0,18.2,32,results per admission,,KMUH per-patient workbooks,yes
results_imaging_min,1,,,,results per admission,,KMUH per-patient workbooks,yes
results_imaging_max,26,,,,results per admission,,KMUH per-patient workbooks,yes
results_culture,4.5,2.0,11.0,32,results per admission,,KMUH per-patient workbooks,yes
results_culture_min,0,,,,results per admission,,KMUH per-patient workbooks,yes
results_culture_max,41,,,,results per admission,,KMUH per-patient workbooks,yes
results_panel,33.0,33.0,33.0,32,results per admission,,KMUH per-patient workbooks,yes
results_panel_min,32,,,,results per admission,,KMUH per-patient workbooks,yes
results_panel_max,33,,,,results per admission,,KMUH per-patient workbooks,yes
results_gm,3.0,2.0,5.0,32,results per admission,,KMUH per-patient workbooks,yes
results_gm_min,0,,,,results per admission,,KMUH per-patient workbooks,yes
results_gm_max,10,,,,results per admission,,KMUH per-patient workbooks,yes
results_cbc,81.0,81.0,81.0,32,results per admission,,KMUH per-patient workbooks,yes
results_cbc_min,0,,,,results per admission,,KMUH per-patient workbooks,yes
results_cbc_max,135,,,,results per admission,,KMUH per-patient workbooks,yes
results_chemistry,111.0,83.8,124.2,32,results per admission,,KMUH per-patient workbooks,yes
results_chemistry_min,0,,,,results per admission,,KMUH per-patient workbooks,yes
results_chemistry_max,220,,,,results per admission,,KMUH per-patient workbooks,yes
results_total,247.0,214.5,263.0,32,results per admission,,KMUH per-patient workbooks,yes
results_total_min,157,,,,results per admission,,KMUH per-patient workbooks,yes
results_total_max,423,,,,results per admission,,KMUH per-patient workbooks,yes
free_text_words,1451.5,1062.2,1832.5,32,words per admission,,KMUH per-patient workbooks,yes
free_text_words_min,705,,,,words per admission,,KMUH per-patient workbooks,yes
free_text_words_max,2965,,,,words per admission,,KMUH per-patient workbooks,yes
transfers,3.0,1.0,4.2,32,ward or unit moves per admission,,KMUH per-patient workbooks,yes
transfers_min,0,,,,ward or unit moves per admission,,KMUH per-patient workbooks,yes
transfers_max,18,,,,ward or unit moves per admission,,KMUH per-patient workbooks,yes
record_span,31.0,20.2,52.0,32,days,,KMUH per-patient workbooks,yes
record_span_min,15,,,,days,,KMUH per-patient workbooks,yes
record_span_max,77,,,,days,,KMUH per-patient workbooks,yes
days_with_new_result,15.5,13.0,20.2,32,days,,KMUH per-patient workbooks,yes
days_with_new_result_min,9,,,,days,,KMUH per-patient workbooks,yes
days_with_new_result_max,27,,,,days,,KMUH per-patient workbooks,yes
culture_reports,254,,,254,reports,,KMUH per-patient workbooks,yes
culture_positive_pct,72,,,254,%,,KMUH per-patient workbooks,yes
culture_negative_pct,28,,,254,%,,KMUH per-patient workbooks,yes
culture_latency_positive,74.8,55.6,99.5,182,hours,,KMUH per-patient workbooks,yes
culture_latency_positive_min,6.7,,,,hours,,KMUH per-patient workbooks,yes
culture_latency_positive_max,259.0,,,,hours,,KMUH per-patient workbooks,yes
culture_latency_negative,147.1,138.3,171.6,72,hours,,KMUH per-patient workbooks,yes
culture_latency_negative_min,45.6,,,,hours,,KMUH per-patient workbooks,yes
culture_latency_negative_max,445.1,,,,hours,,KMUH per-patient workbooks,yes
culture_positive_pct_day_0_2,62,,,45,%,,KMUH per-patient workbooks,yes
culture_positive_pct_day_3_7,81,,,26,%,,KMUH per-patient workbooks,yes
culture_positive_pct_day_8_plus,73,,,183,%,,KMUH per-patient workbooks,yes
admission_to_mngs,13.0,8.0,28.5,31,days,,KMUH per-patient workbooks,yes
