# physiological trajectory around the mNGS specimen (day 0), KMUH whole-record extracts
# source: registry workbook + KMUH phenotyping output (PHI, outside this repository); generated by tables/make_trajectory.py; verified=yes
marker,window,group,metric,n,value,unit
,,died,days from specimen to death (median),31,15,days
temperature,pre,survived,median of per-patient medians,17,37.0,
temperature,d0-2,survived,median of per-patient medians,17,36.55,
temperature,d3-7,survived,median of per-patient medians,16,36.65,
temperature,d8-14,survived,median of per-patient medians,14,36.85,
temperature,d15-30,survived,median of per-patient medians,11,36.45,
temperature,pre,died,median of per-patient medians,28,36.75,
temperature,d0-2,died,median of per-patient medians,28,36.68,
temperature,d3-7,died,median of per-patient medians,29,36.5,
temperature,d8-14,died,median of per-patient medians,23,36.7,
temperature,d15-30,died,median of per-patient medians,15,36.8,
temperature,pre->d3-7,died,paired median change (Wilcoxon p in note),27,-0.5,p=0.001
temperature,pre->d3-7,survived,paired median change (Wilcoxon p in note),16,-0.05,p=0.701
temperature,pre->d3-7,died,"decedents improving, then worsening again",27,21,9 relapsed
platelets,pre,survived,median of per-patient medians,12,168.75,
platelets,d0-2,survived,median of per-patient medians,6,169.75,
platelets,d3-7,survived,median of per-patient medians,4,257.0,
platelets,d8-14,survived,median of per-patient medians,3,360.0,
platelets,d15-30,survived,median of per-patient medians,6,277.0,
platelets,pre,died,median of per-patient medians,23,82.0,
platelets,d0-2,died,median of per-patient medians,19,75.5,
platelets,d3-7,died,median of per-patient medians,15,48.5,
platelets,d8-14,died,median of per-patient medians,13,55.0,
platelets,d15-30,died,median of per-patient medians,12,47.5,
platelets,pre->d3-7,died,paired median change (Wilcoxon p in note),14,-19.25,p=0.004
platelets,pre->d3-7,died,"decedents improving, then worsening again",14,2,0 relapsed
lactate,pre,survived,median of per-patient medians,14,1.6,
lactate,d0-2,survived,median of per-patient medians,2,1.64,
lactate,d3-7,survived,median of per-patient medians,2,1.08,
lactate,d8-14,survived,median of per-patient medians,5,1.93,
lactate,d15-30,survived,median of per-patient medians,6,1.84,
lactate,pre,died,median of per-patient medians,21,2.69,
lactate,d0-2,died,median of per-patient medians,10,2.3,
lactate,d3-7,died,median of per-patient medians,9,2.69,
lactate,d8-14,died,median of per-patient medians,10,2.87,
lactate,d15-30,died,median of per-patient medians,13,3.55,
lactate,pre->d3-7,died,paired median change (Wilcoxon p in note),6,1.32,p=0.173
lactate,pre->d3-7,died,"decedents improving, then worsening again",6,2,1 relapsed
WBC,pre,survived,median of per-patient medians,12,10.82,
WBC,d0-2,survived,median of per-patient medians,7,8.95,
WBC,d3-7,survived,median of per-patient medians,5,10.02,
WBC,d8-14,survived,median of per-patient medians,3,9.13,
WBC,d15-30,survived,median of per-patient medians,6,11.8,
WBC,pre,died,median of per-patient medians,24,10.39,
WBC,d0-2,died,median of per-patient medians,21,9.82,
WBC,d3-7,died,median of per-patient medians,15,9.02,
WBC,d8-14,died,median of per-patient medians,12,9.93,
